,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
149,475000,9895.83,48,3,1,5,secondary,apartment building,2004,52.244958,20.9876901,550
150,405000,8804.35,46,2,4,9,secondary,apartment building,2017,52.2466668,20.9865335,272
151,880000,11325.61,77.7,3,3,3,secondary,block of flats,1961,52.2715362,20.9741161,650
152,360000,5741.63,62.7,2,3,3,secondary,block of flats,2001,52.337342,20.938295,804
153,370000,8809.52,42,2,5,6,secondary,block of flats,1996,52.19844,21.0178309,430
154,939000,11047.06,85,2,4,4,secondary,block of flats,2013,52.2273131,21.0344544,810
155,399000,9987.48,39.95,2,4,10,secondary,block of flats,1952,52.2251748,21.0370816,400
156,380000,10000,38,2,3,3,secondary,tenement house,1965,52.2443969,20.9820229,1500
157,784299,11280.01,69.53,3,4,5,secondary,block of flats,2016,52.2225508,21.0126747,800
158,690000,15000,46,2,3,6,secondary,block of flats,1975,52.2228513,21.007506,490
159,495000,9000,55,3,1,6,secondary,apartment building,2000,52.2173177,21.0432292,520
160,1005000,16475.41,61,2,2,5,secondary,tenement house,2000,52.2361586,21.020401,400
161,590000,15745.93,37.47,2,4,5,secondary,tenement house,1999,52.2392803,21.0203111,938
162,999000,11944.05,83.64,3,2,5,secondary,tenement house,2008,52.2308231,21.01207,500
163,350000,9210.53,38,2,3,4,secondary,block of flats,1968,52.2301826,21.0362831,770
164,650000,17567.57,37,2,4,4,secondary,tenement house,2001,52.2359436,21.0202613,482
165,579000,13159.09,44,2,2,10,secondary,tenement house,2017,52.2300214,20.9842502,420.49
166,440000,12222.22,36,2,7,10,secondary,block of flats,2005,52.2414616,21.0277142,467
167,750000,13392.86,56,3,3,5,secondary,block of flats,2011,52.2344766,21.0188305,456
168,726000,9667.11,75.1,3,3,7,secondary,block of flats,1979,52.2514956,20.9982082,900
169,425000,9239.13,46,3,2,10,secondary,block of flats,2002,52.2251494,21.035899,350
170,340000,8947.37,38,2,4,10,secondary,block of flats,2016,52.245982,20.9853847,758
171,349000,10264.71,34,2,1,5,secondary,tenement house,2009,52.2443969,20.9820229,700
172,570000,12311.02,46.3,2,2,11,secondary,tenement house,1996,52.257815,20.9946483,350
173,455100,7989.82,56.96,2,2,6,primary,apartment building,2019,52.2814057,20.9292284000001,150
174,1190000,12526.32,95,3,3,7,secondary,apartment building,2001,52.225071,21.0353653,900
175,549000,9465.52,58,2,6,6,secondary,apartment building,2003,52.1999515,20.9649248,900
176,319646.25,9225,34.65,1,2,8,primary,apartment building,2009,52.2248111,20.9530956,1500
177,424200,7521.28,56.4,3,3,8,primary,apartment building,2003,52.2248111,20.9530956,800
178,562474,7416.59,75.84,4,4,8,primary,apartment building,1960,52.2450664,20.9773098,450
179,765000,8272.06,92.48,4,3,9,secondary,block of flats,2007,52.2670904,20.9465906,800
180,3e+05,7722.01,38.85,2,5,6,secondary,apartment building,2008,52.1598703793645,20.8082637554932,350
181,380000,10555.56,36,2,2,10,secondary,block of flats,2010,52.2743843611993,20.960480118866,328
182,409575,7500,54.61,2,4,8,primary,apartment building,2003,52.2248111,20.9530956,400
183,569000,7389.61,77,4,3,5,secondary,apartment building,1950,52.23313,21.019,420
184,530000,10816.33,49,2,2,2,secondary,block of flats,1938,52.19301,21.04,500
185,370000,5692.31,65,3,8,10,secondary,tenement house,1977,52.27405297,20.91541529,900
186,1200000,7741.94,155,5,5,5,secondary,block of flats,1950,52.20715959,21.04388237,800
187,689000,13000,53,2,3,3,secondary,block of flats,1940,52.24971057,21.01178884,600
188,265000,5760.87,46,2,4,10,secondary,block of flats,1980,52.2775835,21.0557112,500
189,1999000,11105.56,180,5,3,6,secondary,block of flats,1990,52.19882207,21.03890419,430
190,299000,7292.68,41,2,2,10,secondary,block of flats,1973,52.19793015,20.97214311,421
191,469000,8832.39,53.1,2,2,3,secondary,block of flats,1950,52.21124888,20.97474575,700
192,315000,5431.03,58,2,1,4,secondary,block of flats,2001,52.31722,20.98156,433
193,294999,8428.54,35,2,5,10,secondary,apartment building,1960,52.2156401,20.974624,340
194,389000,9046.51,43,2,5,10,secondary,block of flats,1960,52.22729392,21.03880763,350
195,357000,7595.74,47,2,4,10,secondary,apartment building,1971,52.1720053,21.0305698,460
196,735000,18375,40,2,1,3,secondary,apartment building,1949,52.24908,21.01475,580
197,575000,10648.15,54,2,2,4,secondary,block of flats,1928,52.20881,20.9652,620
198,429000,8503.47,50.45,2,2,4,secondary,block of flats,1951,52.20218883,21.03744507,500
199,330000,8918.92,37,2,1,4,secondary,apartment building,1963,52.20629371,20.97037081,450
200,239000,12578.95,19,1,10,15,secondary,apartment building,1975,52.23214,21.0267,400
201,182848,6400,28.57,2,4,4,secondary,tenement house,2017,52.2477949,21.078201,200
202,260000,5977.01,43.5,2,2,3,secondary,block of flats,2010,52.32022,21.03253,655
203,229000,8807.69,26,1,1,11,secondary,block of flats,1973,52.2645945,21.0257899,530
204,415000,11216.22,37,2,1,4,secondary,block of flats,1937,52.26883,20.97906,350
205,486556.44,5987.65,81.26,4,3,4,secondary,tenement house,2017,52.2477949,21.078201,500
206,304000,8941.18,34,2,2,13,secondary,apartment building,1980,52.2144111,20.97949081,500
207,516478,9190,56.2,2,4,17,secondary,apartment building,1970,52.2450664,20.9773098,460
208,433000,8490.2,51,2,1,5,secondary,tenement house,2013,52.20881,20.9652,515
209,220000,6666.67,33,1,2,3,secondary,block of flats,2002,52.3296983,20.9455248,1400
210,399000,9279.07,43,2,4,10,secondary,block of flats,1966,52.22539518,21.03688717,530
211,277000,5036.36,55,5,4,4,secondary,apartment building,1999,52.2921122,21.0477664,520
212,270000,10150.38,26.6,1,3,6,secondary,block of flats,1960,52.23362,20.95361,380
213,570000,10555.56,54,4,3,4,secondary,block of flats,1965,52.23214,21.0267,300
214,540000,10410.64,51.87,2,3,4,secondary,tenement house,2010,52.1365857,21.0502547,600
215,215000,6718.75,32,2,2,10,secondary,block of flats,1970,52.267597,21.0547239,907
216,1550000,8707.87,178,5,2,2,secondary,apartment building,1996,52.1287058,21.0535558,680
217,1450000,10139.86,143,5,2,3,secondary,block of flats,1996,52.1294744,21.0534591,300
218,799000,10513.16,76,3,8,10,secondary,apartment building,2009,52.2394224,20.9034064,472
219,355000,8658.54,41,2,5,5,secondary,apartment building,1996,52.1292875,21.0588585,210
220,320000,10322.58,31,1,10,10,secondary,block of flats,1983,52.13323,21.03252,1300
221,699000,8737.5,80,3,3,5,secondary,block of flats,2000,52.1457951,21.0578425,500
222,450000,7317.07,61.5,3,8,13,secondary,apartment building,1979,52.1499087,21.0349049,490
223,394000,7880,50,2,4,7,secondary,block of flats,1999,52.2438562,20.9057992,500
224,219000,8111.11,27,1,7,10,secondary,block of flats,1981,52.19592,21.01403,400
225,449000,7741.38,58,2,4,7,secondary,apartment building,1936,52.2765326,20.9515904,500
226,1150000,13345.71,86.17,3,4,6,secondary,apartment building,2006,52.2036109,21.011942,790
227,1180000,8489.21,139,4,3,3,secondary,tenement house,1830,52.2402148,20.9975821,750
228,370823.93,5952.23,62.3,2,1,7,primary,block of flats,2000,52.3214505065323,20.9537448497375,565
229,5e+05,10204.08,49,2,9,16,secondary,block of flats,2008,52.1823249,21.0258847,370
230,699000,8223.53,85,3,3,4,secondary,tenement house,1923,52.2167659,20.9856717,500
231,345000,6558.94,52.6,2,2,3,secondary,block of flats,1999,52.22269,21.23072,500
232,565000,11530.61,49,3,2,3,secondary,tenement house,1948,52.2532197858796,20.9997822079346,450
233,6e+05,12192.64,49.21,2,1,4,secondary,tenement house,1939,52.227224,21.020962,750
234,580000,10329.47,56.15,3,1,5,secondary,tenement house,1957,52.2155962,21.0187774,650
235,1445000,11885.18,121.58,4,3,4,secondary,tenement house,1904,52.2308066,21.0169497,320
236,299900,3998.67,75,3,2,10,primary,terraced house,2018,52.1067422,20.9933521,880
237,299900,3998.67,75,3,6,7,primary,terraced house,2018,52.1067422,20.9933521,358
238,319900,4265.33,75,3,4,5,primary,terraced house,2018,52.1067422,20.9933521,350
239,299900,3998.67,75,3,1,1,primary,terraced house,2018,52.1067422,20.9933521,380
240,319900,4265.33,75,3,3,6,primary,block of flats,1997,52.1067422,20.9933521,370
241,232000,7483.87,31,1,4,4,secondary,tenement house,1960,52.234001,21.1034935,270
242,459000,9493.28,48.35,2,3,4,secondary,block of flats,1958,52.211287,20.9624822,520
243,429000,9907.62,43.3,2,10,10,secondary,block of flats,2017,52.243815,20.9123535,414
244,529000,9280.7,57,2,1,4,secondary,apartment building,2009,52.1612094,21.0776229,450
245,1849000,12578.23,147,5,6,14,primary,apartment building,2012,52.19832,21.01715,600
246,495000,9000,55,3,3,8,secondary,block of flats,1965,52.2466668,20.9865335,445
247,510000,10220.44,49.9,2,4,15,secondary,block of flats,2004,52.2314104,21.072073,650
248,345000,6337.25,54.44,3,8,10,secondary,block of flats,1976,52.2713226,20.932111,240
249,945000,10500,90,4,8,12,secondary,apartment building,2008,52.2529229,20.9881679,700
250,450000,7142.86,63,3,3,3,secondary,block of flats,2017,52.13785,21.02912,330
251,380000,10000,38,1,3,4,secondary,block of flats,1960,52.20997,20.96727,350
252,469000,9196.08,51,2,3,5,secondary,tenement house,1950,52.19832,21.01715,450
253,579000,10339.29,56,3,1,10,secondary,apartment building,2016,52.29332,20.92866,589
254,459000,8826.92,52,2,3,12,secondary,block of flats,1966,52.194157,21.0346955,450
255,419900,7498.21,56,2,5,6,secondary,block of flats,1997,52.23338,20.95718,440
256,599000,9661.29,62,3,5,8,secondary,block of flats,2005,52.13785,21.02912,540
257,450000,11250,40,2,9,10,secondary,block of flats,2008,52.19832,21.01715,500
258,470000,7966.1,59,3,2,3,secondary,block of flats,1984,52.13785,21.02912,600
259,456000,8000,57,3,8,10,secondary,block of flats,2017,52.2380808,20.9785451,386
260,365000,8295.45,44,2,5,8,secondary,block of flats,1963,52.20997,20.96727,330
261,625000,9615.38,65,3,7,11,secondary,apartment building,2012,52.23338,20.95718,650
